MSSubClass,MSZoning,LotArea,LotConfig,BldgType,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,BsmtFinSF2,TotalBsmtSF,SalePrice
50,RL,8400,Inside,1Fam,5,1940,2000,Wd Sdng,0,940,140000
20,RL,11249,Inside,1Fam,5,1995,1995,VinylSd,544,1200,177500
20,RL,9248,Inside,1Fam,6,1992,1992,HdBoard,0,1158,173000
120,RM,4224,Inside,TwnhsE,5,1976,1976,CemntBd,0,1142,134000
80,RL,6930,Inside,1Fam,4,1958,1958,Wd Sdng,294,1062,130000
60,RL,12011,CulDSac,1Fam,5,1998,1998,VinylSd,0,1086,280000
85,RL,7540,CulDSac,1Fam,6,1978,1978,VinylSd,0,888,156000
50,RL,9144,Inside,1Fam,5,1940,1982,MetalSd,0,883,145000
85,RL,7301,Corner,1Fam,5,2003,2003,HdBoard,0,0,198500
160,RM,1680,Inside,Twnhs,8,1972,2007,HdBoard,0,483,118000
60,RL,18800,FR2,1Fam,5,1976,1976,HdBoard,0,796,190000
70,RM,10690,Inside,1Fam,7,1920,1997,VinylSd,0,672,147000
20,RL,9500,Inside,1Fam,5,1963,1963,Plywood,0,1394,159000
80,RL,9150,Corner,1Fam,5,1962,1962,Plywood,0,1099,165000
20,RL,7800,Inside,1Fam,6,1954,1954,HdBoard,0,1268,132000
20,RL,9830,Corner,1Fam,7,1959,2006,Wd Sdng,258,1063,162000
60,RL,8121,Inside,1Fam,5,2000,2000,VinylSd,0,953,172400
50,RL,17120,Inside,1Fam,4,1959,1959,WdShing,0,0,134432
120,RL,7175,Inside,TwnhsE,5,1984,1984,Plywood,121,744,125000
20,RL,10634,Inside,1Fam,6,1953,1953,MetalSd,180,608,123000
60,RL,8200,Inside,1Fam,5,2003,2004,VinylSd,0,847,219500
30,RL,10020,Inside,1Fam,1,1922,1950,Wd Sdng,0,683,61000
85,RL,8846,CulDSac,1Fam,5,1996,1996,VinylSd,0,870,148000
60,FV,11143,Corner,1Fam,5,2004,2005,CemntBd,0,1580,340000
20,RL,11394,Corner,1Fam,2,2010,2010,VinylSd,0,1856,394432
60,RL,8123,Inside,1Fam,5,2000,2000,VinylSd,0,982,179000
50,RL,5000,Inside,1Fam,6,1924,1950,BrkFace,0,1026,127000
20,FV,7200,Inside,1Fam,5,2006,2006,VinylSd,0,1293,187750
60,RL,9245,Inside,1Fam,5,2006,2006,VinylSd,0,939,213500
45,RH,9000,Corner,1Fam,3,1928,1950,Wd Sdng,0,784,76000
60,RL,53107,Corner,1Fam,5,1992,1992,HdBoard,0,1580,240000
120,RL,3182,Inside,TwnhsE,5,2004,2005,VinylSd,0,1256,192000
50,RL,8410,FR2,1Fam,3,1910,1996,Wd Sdng,0,658,81000
80,RL,7200,Inside,1Fam,6,1976,1976,MetalSd,0,1041,125000
20,RL,9382,CulDSac,1Fam,5,1999,2000,VinylSd,0,1468,191000
60,RL,12474,Inside,1Fam,5,2007,2008,VinylSd,0,1682,426000
50,RL,8405,Inside,1Fam,8,1900,1950,MetalSd,391,861,119000
60,RL,12209,CulDSac,1Fam,5,2001,2002,VinylSd,0,804,215000
20,RL,8339,Inside,1Fam,7,1959,1959,MetalSd,0,0,106500
30,RL,7446,Corner,1Fam,5,1941,1950,WdShing,0,788,100000
50,RL,10134,Inside,1Fam,6,1940,1950,MetalSd,0,735,109000
20,RL,9571,Inside,1Fam,6,1956,1956,Wd Sdng,0,1144,129000
20,RL,7200,Inside,1Fam,5,1972,1972,MetalSd,0,894,123000
60,RL,7590,Inside,1Fam,5,1962,1962,VinylSd,0,864,169500
30,RM,8967,Corner,1Fam,2,1920,1950,MetalSd,0,961,67000
60,FV,8125,Inside,1Fam,5,2006,2007,CemntBd,0,1092,241000
120,RL,14963,Inside,TwnhsE,5,1996,1996,BrkFace,0,1260,245500
20,RL,8767,Inside,1Fam,5,2005,2005,VinylSd,0,1310,164990
30,RL,10200,Inside,1Fam,8,1940,1997,Wd Sdng,0,672,108000
60,RL,12090,Corner,1Fam,5,1998,1998,VinylSd,0,1141,258000
60,RL,10364,Inside,1Fam,5,1995,1996,MetalSd,0,806,168000
20,RL,9991,Corner,1Fam,4,1976,1993,Plywood,0,1281,150000
50,RL,10480,Inside,1Fam,5,1936,1950,MetalSd,0,1064,115000
70,RL,15576,Inside,1Fam,7,1915,1976,Wd Sdng,0,840,177000
60,RL,14154,Corner,1Fam,5,2006,2006,VinylSd,0,1063,280000
60,FV,10800,Inside,1Fam,5,2007,2008,VinylSd,0,1034,339750
20,RL,9571,Inside,1Fam,3,1958,1958,BrkComm,0,1276,60000
190,RL,34650,Inside,2fmCon,5,1955,1955,Wd Sdng,0,1056,145000
20,FV,4403,Inside,1Fam,5,2009,2009,MetalSd,0,1470,222000
30,RM,8960,Inside,1Fam,6,1927,1950,WdShing,0,1008,115000
60,RL,11228,CulDSac,1Fam,5,1993,1993,VinylSd,531,1080,228000
20,RL,8899,Inside,1Fam,5,2007,2007,VinylSd,0,1340,181134
60,RL,7844,Inside,1Fam,7,1978,1978,HdBoard,0,672,149500
70,RL,22420,Inside,1Fam,6,1918,1950,Wd Sdng,0,1370,239000
50,RL,8160,Inside,1Fam,6,1940,1950,MetalSd,0,756,126000
20,RL,8450,Inside,1Fam,6,1968,1968,VinylSd,0,1056,142000
90,RM,7060,Inside,Duplex,5,1997,1998,VinylSd,0,1344,206300
20,RL,16635,FR2,1Fam,7,1977,2000,CemntBd,0,1602,215000
20,RL,21750,Inside,1Fam,5,1954,1954,HdBoard,0,988,113000
60,RL,9200,Inside,1Fam,5,1998,1998,VinylSd,0,1470,315000
20,RL,9000,Inside,1Fam,5,1956,1956,Wd Sdng,0,1196,139000
60,RM,3378,Inside,1Fam,8,1946,1992,HdBoard,0,651,135000
80,RL,12800,Inside,1Fam,5,1989,1989,Wd Sdng,0,1518,275000
20,RL,8593,Inside,1Fam,6,1957,1957,MetalSd,0,907,109008
20,RL,6762,Inside,1Fam,5,2007,2007,VinylSd,0,1208,195400
20,RL,11457,Corner,1Fam,5,1988,1988,HdBoard,0,1392,175000
160,RM,1680,Inside,Twnhs,5,1971,1971,HdBoard,0,483,85400
50,RM,5586,Inside,1Fam,7,1920,1998,MetalSd,0,901,79900
160,RM,1920,Inside,TwnhsE,5,1971,1971,HdBoard,0,765,122500
60,RL,10839,Corner,1Fam,5,1997,1998,VinylSd,0,926,181000
180,RM,1890,Inside,Twnhs,7,1972,1972,CemntBd,0,630,81000
60,RL,10667,CulDSac,1Fam,6,1996,1996,VinylSd,344,799,212000
50,RM,4400,Inside,1Fam,8,1920,1950,Stucco,0,648,116000
45,RM,6000,Inside,1Fam,7,1926,2004,Wd Sdng,0,884,119000
30,RL,4280,Inside,1Fam,6,1913,2002,WdShing,0,440,90350
50,RL,12354,Corner,1Fam,8,1920,2000,Wd Sdng,0,684,110000
20,RL,15431,Inside,1Fam,5,2008,2008,VinylSd,539,3094,555000
90,RL,12108,Inside,Duplex,4,1955,1955,VinylSd,0,1440,118000
50,RM,6240,Inside,1Fam,7,1930,1992,MetalSd,0,1078,162900
120,RL,3922,Inside,TwnhsE,5,2006,2007,WdShing,0,1258,172500
60,RL,8750,Inside,1Fam,5,1994,1995,VinylSd,0,915,210000
20,RL,9855,Corner,1Fam,5,1956,1956,Wd Sdng,0,1436,127500
20,RL,16492,Corner,1Fam,6,1966,2002,BrkFace,713,1517,190000
60,RL,11214,Corner,1Fam,5,1998,1999,VinylSd,0,930,199900
50,RM,8600,Inside,1Fam,6,1937,1950,MetalSd,0,780,119500
50,RM,6000,Inside,1Fam,7,1948,2002,MetalSd,0,649,120000
30,RM,5684,Inside,1Fam,8,1930,2005,Wd Sdng,0,813,110000
20,RL,70761,Inside,1Fam,5,1975,1975,Plywood,0,1533,280000
60,RL,9303,Corner,1Fam,5,1996,1997,VinylSd,0,872,204000
60,FV,9000,Inside,1Fam,5,2008,2008,VinylSd,0,768,210000
90,RL,9297,Inside,Duplex,5,1976,1976,Plywood,0,1728,188000
20,RL,9600,Inside,1Fam,6,1973,1973,HdBoard,0,1242,175500
70,RM,4571,Inside,1Fam,5,1916,1950,AsbShng,0,624,98000
20,RL,53227,CulDSac,1Fam,6,1954,1994,Plywood,0,1364,256000
70,RM,5100,Inside,1Fam,7,1925,1996,Stucco,0,588,161000
50,RL,7015,Corner,1Fam,4,1950,1950,MetalSd,0,709,110000
60,FV,8004,Inside,1Fam,5,2009,2009,VinylSd,0,832,263435
70,RL,7200,Inside,1Fam,9,1936,2007,Wd Sdng,210,560,155000
20,RL,8281,Inside,1Fam,5,1965,1965,MetalSd,311,864,62383
70,RL,11988,Inside,1Fam,7,1934,1995,Stucco,0,715,188700
20,RL,8430,Inside,1Fam,5,1978,1978,HdBoard,0,1040,124000
120,RM,3072,Inside,TwnhsE,5,2004,2004,VinylSd,0,1375,178740
20,RL,10628,Inside,1Fam,5,1970,1970,Plywood,0,1277,167000
70,RL,9480,Inside,1Fam,7,1942,1995,MetalSd,0,728,146500
20,RL,11428,Inside,1Fam,5,2006,2006,VinylSd,0,1626,250000
60,RL,9291,Corner,1Fam,5,1993,1993,HdBoard,0,832,187000
120,RL,6820,Corner,TwnhsE,5,1985,1985,HdBoard,1120,1488,212000
60,RL,11952,Inside,1Fam,6,1977,1977,WdShing,0,808,190000
180,RM,3675,Inside,TwnhsE,5,2005,2005,VinylSd,0,547,148000
20,RL,14977,Inside,1Fam,5,2006,2007,VinylSd,0,1976,440000
120,RL,5330,Inside,TwnhsE,5,2000,2000,CemntBd,0,1494,251000
20,RL,8480,Corner,1Fam,6,1963,1963,HdBoard,0,970,132500
20,RL,13125,Inside,1Fam,5,1997,1998,VinylSd,0,1478,208900
60,RL,13693,Inside,1Fam,5,2006,2006,VinylSd,0,2153,380000
20,RL,10637,Inside,1Fam,5,2007,2008,VinylSd,0,1705,297000
30,RM,5925,Inside,1Fam,7,1937,2000,Stucco,0,907,89471
20,RL,16033,FR2,1Fam,5,2004,2005,VinylSd,0,1833,326000
20,RL,11846,Inside,1Fam,5,2003,2004,VinylSd,0,1792,374000
70,RM,2500,Corner,1Fam,8,1915,2005,Stucco,0,910,155000
120,RM,4500,FR2,Twnhs,5,1998,1998,VinylSd,0,1216,164000
20,RL,7758,Corner,1Fam,7,1962,2001,HdBoard,0,999,132500
20,RL,9600,Inside,1Fam,7,1950,2007,MetalSd,0,1113,147000
20,RL,10289,Inside,1Fam,7,1965,1965,MetalSd,0,1073,156000
20,RL,12243,Inside,1Fam,6,1971,1971,Plywood,0,1484,175000
190,RL,10800,Corner,2fmCon,4,1900,1970,Wd Sdng,0,954,160000
180,RM,1526,Inside,Twnhs,8,1970,2002,CemntBd,0,630,86000
160,RM,2665,Inside,TwnhsE,6,1976,1976,CemntBd,0,264,115000
50,RL,9490,Inside,1Fam,7,1941,1950,Wd Sdng,165,806,133000
60,RL,15578,Corner,1Fam,5,2006,2006,VinylSd,0,728,172785
20,RL,7931,Inside,1Fam,6,1960,1960,BrkFace,532,1269,155000
30,RM,5784,Inside,1Fam,8,1938,1996,MetalSd,0,190,91300
30,C (all),7879,Inside,1Fam,5,1920,1950,Wd Sdng,0,720,34900
20,RL,12692,Inside,1Fam,5,1992,1993,BrkFace,0,3200,430000
50,RL,9120,Inside,1Fam,6,1925,1950,Wd Sdng,0,1026,184000
20,RL,7800,Inside,1Fam,7,1967,2004,HdBoard,0,864,130000
20,RL,7535,Inside,1Fam,7,1958,1985,MetalSd,279,912,120000
160,RM,1890,Inside,Twnhs,5,1973,1973,HdBoard,0,672,113000
60,FV,9803,Inside,1Fam,5,2005,2005,VinylSd,0,866,226700
20,RL,9170,Corner,1Fam,7,1965,1965,MetalSd,96,1214,140000
20,RL,15602,Inside,1Fam,8,1959,1997,BrkFace,0,1501,289000
160,RL,2308,Inside,TwnhsE,5,1974,1974,Plywood,495,855,147000
90,RM,7596,Inside,Duplex,5,1952,1952,Wd Sdng,0,960,124500
60,RL,9554,Inside,1Fam,5,1993,1994,VinylSd,0,777,215000
20,FV,7862,Inside,1Fam,5,2009,2009,VinylSd,0,1218,208300
70,RM,9600,Inside,1Fam,9,1928,2005,MetalSd,0,689,161000
20,RL,9600,Corner,1Fam,6,1959,1959,MetalSd,0,1041,124500
20,RL,14559,Inside,1Fam,7,1951,2000,Wd Sdng,180,1008,164900
120,RL,6792,Inside,TwnhsE,5,2005,2006,VinylSd,0,1368,202665
20,RL,9100,Corner,1Fam,5,1958,1958,VinylSd,174,864,129900
20,RL,9187,Corner,1Fam,5,1983,1983,VinylSd,0,1084,134000
45,RL,10594,Inside,1Fam,5,1926,1950,Wd Sdng,0,768,96500
20,RL,12220,Inside,1Fam,5,2009,2009,CemntBd,0,2006,402861
80,RL,10448,Corner,1Fam,6,1972,1972,HdBoard,0,689,158000
60,RL,10208,Inside,1Fam,5,1996,1997,VinylSd,0,1264,265000
60,RL,9531,CulDSac,1Fam,5,1998,1998,VinylSd,0,794,211000
70,RL,10918,Inside,1Fam,9,1926,2004,MetalSd,0,1276,234000
190,RL,10800,Inside,2fmCon,7,1900,2000,MetalSd,0,0,106250
20,RL,11988,Corner,1Fam,6,1957,1957,VinylSd,0,1244,150000
50,RM,5000,Corner,1Fam,7,1947,1950,CemntBd,0,1004,159000
60,RL,40094,Inside,1Fam,5,2007,2008,CemntBd,0,3138,184750
60,RL,11787,Inside,1Fam,5,1996,1997,VinylSd,0,1379,315750
20,FV,7500,Inside,1Fam,5,2005,2005,VinylSd,0,1257,176000
20,RL,13300,Inside,1Fam,7,1956,2000,Wd Sdng,0,928,132000
60,RL,14948,Inside,1Fam,5,2008,2008,VinylSd,0,1452,446261
30,RL,9098,Inside,1Fam,7,1920,2002,Wd Sdng,0,528,86000
20,RL,32668,CulDSac,1Fam,3,1957,1975,Wd Sdng,0,2035,200624
80,RL,10200,Inside,1Fam,5,1988,1989,HdBoard,0,1461,175000
70,RM,6155,FR3,1Fam,8,1920,1999,Wd Sdng,0,611,128000
20,RL,7200,Inside,1Fam,7,1955,2007,VinylSd,0,0,107500
20,RL,5000,Inside,1Fam,3,1946,1950,VinylSd,0,0,39300
60,RL,9056,Inside,1Fam,5,2004,2004,VinylSd,0,707,178000
190,RL,7000,Inside,2fmCon,7,1910,1991,MetalSd,0,1117,107500
60,RL,8924,CulDSac,1Fam,5,1998,1999,VinylSd,0,880,188000
20,RL,12735,FR2,1Fam,5,1972,1972,MetalSd,0,864,111250
20,RL,11553,Inside,1Fam,5,1968,1968,Plywood,0,1051,158000
20,RL,11423,Inside,1Fam,5,2001,2002,VinylSd,0,1581,272000
20,RL,14601,Inside,1Fam,5,2006,2006,VinylSd,0,1838,315000
60,RL,11000,FR2,1Fam,5,2000,2000,VinylSd,0,969,248000
20,RL,10140,Inside,1Fam,5,1998,1999,VinylSd,1127,1650,213250
120,RH,4058,Inside,TwnhsE,5,1998,1998,MetalSd,139,723,133000
60,RL,17104,Inside,1Fam,5,2006,2006,VinylSd,0,654,179665
50,RL,13837,Corner,1Fam,5,1988,1988,HdBoard,202,1204,229000
50,RL,8737,Inside,1Fam,7,1923,1950,BrkFace,0,1065,210000
85,RL,7244,Inside,1Fam,7,1970,1970,VinylSd,0,768,129500
20,RM,8235,Inside,1Fam,7,1955,1995,MetalSd,645,825,125000
60,FV,9375,Inside,1Fam,5,2003,2004,VinylSd,0,912,263000
120,RL,4043,Inside,TwnhsE,6,1977,1977,Plywood,0,1069,140000
20,RM,6000,Inside,1Fam,6,1957,1957,BrkFace,0,928,112500
20,RL,11146,Inside,1Fam,5,2006,2006,VinylSd,0,1709,255500
20,RL,8777,Inside,1Fam,5,1949,2003,VinylSd,0,0,108000
60,RL,10625,Inside,1Fam,5,2003,2004,VinylSd,0,998,284000
45,RM,6380,Inside,1Fam,6,1922,1950,MetalSd,0,993,113000
20,RL,14850,Inside,1Fam,5,1957,1957,Wd Sdng,0,1092,141000
50,C (all),11040,Inside,1Fam,6,1920,1950,MetalSd,0,637,108000
60,RL,21872,FR2,1Fam,5,1996,1997,HdBoard,0,729,175000
120,RL,3196,Inside,TwnhsE,5,2003,2004,VinylSd,0,1374,234000
20,RL,11341,Inside,1Fam,6,1957,1996,Wd Sdng,0,1392,121500
20,RL,10010,Inside,1Fam,5,1974,1975,HdBoard,123,1389,170000
30,RL,13907,Inside,1Fam,6,1940,1969,WdShing,0,996,108000
50,RL,21780,Inside,1Fam,7,1918,1950,Wd Sdng,0,1163,185000
60,RL,13346,CulDSac,1Fam,5,1992,2000,HdBoard,0,1095,268000
70,RL,6858,Corner,1Fam,4,1915,1950,Wd Sdng,0,806,128000
60,RL,11198,Inside,1Fam,5,2005,2007,VinylSd,0,1122,325000
20,RL,10171,Inside,1Fam,5,2004,2004,VinylSd,0,1517,214000
50,RL,12327,Inside,1Fam,8,1983,2009,Wd Sdng,0,1496,316600
90,RL,7032,Corner,Duplex,5,1979,1979,MetalSd,0,943,135960
90,RL,13101,Inside,Duplex,5,1965,1965,HdBoard,0,1728,142600
20,RL,7332,Inside,1Fam,6,1959,1959,WdShing,0,864,120000
60,RL,13159,Corner,1Fam,5,2009,2009,VinylSd,0,846,224500
80,RL,9967,Inside,1Fam,5,2000,2000,VinylSd,0,384,170000
80,RL,10500,FR2,1Fam,7,1971,2005,MetalSd,0,372,139000
50,RL,8480,Inside,1Fam,5,1947,1950,MetalSd,0,832,118500
50,RL,6292,Inside,1Fam,7,1928,1950,Wd Sdng,0,861,145000
80,RL,11777,Inside,1Fam,6,1966,1966,VinylSd,551,1164,164500
160,FV,3604,Corner,TwnhsE,5,2007,2007,VinylSd,0,689,146000
50,RM,12150,Inside,1Fam,5,1954,1954,MetalSd,0,1050,131500
20,RL,14585,CulDSac,1Fam,6,1960,1987,Wd Sdng,219,1144,181900
20,RL,12704,Inside,1Fam,5,2008,2009,VinylSd,0,2042,253293
90,RL,11841,Inside,Duplex,5,1990,1990,HdBoard,0,816,118500
75,RM,13500,Inside,1Fam,9,1893,2000,Wd Sdng,0,1237,325000
50,RM,6120,Inside,1Fam,7,1935,1995,AsbShng,0,884,133000
20,RL,11443,Inside,1Fam,5,2005,2006,VinylSd,0,1868,369900
30,RL,10267,Inside,1Fam,7,1918,2000,Stucco,606,816,130000
85,RL,8740,Inside,1Fam,6,1982,1982,HdBoard,0,840,137000
20,RL,25095,Inside,1Fam,8,1968,2003,Wd Sdng,0,1437,143000
40,RM,9100,Inside,1Fam,6,1930,1960,VinylSd,0,742,79500
60,RL,8320,Inside,1Fam,5,2004,2004,VinylSd,0,770,185900
60,RL,13478,Corner,1Fam,5,2008,2008,CemntBd,0,1722,451950
20,RL,6600,Inside,1Fam,8,1982,2003,HdBoard,0,816,138000
120,RM,4435,Inside,TwnhsE,5,2003,2003,VinylSd,0,848,140000
20,RL,7990,Inside,1Fam,6,1975,1975,HdBoard,0,924,110000
20,RL,11302,Inside,1Fam,5,2005,2006,VinylSd,0,1814,319000
70,RM,3600,Inside,1Fam,7,1910,1993,VinylSd,0,684,114504
120,RL,3922,Inside,TwnhsE,5,2006,2007,VinylSd,0,1258,194201
20,RL,12984,Inside,1Fam,6,1977,1977,Plywood,147,1430,217500
160,RM,1950,Inside,Twnhs,6,1980,1980,MetalSd,612,716,151000
60,RL,10927,Inside,1Fam,5,2005,2005,VinylSd,0,1058,275000
50,RM,9000,Inside,1Fam,6,1937,1950,Wd Sdng,0,780,141000
60,RL,10041,Inside,1Fam,5,1992,1992,HdBoard,0,908,220000
160,FV,3182,Inside,TwnhsE,5,2004,2005,MetalSd,0,600,151000
20,RL,12803,Inside,1Fam,5,2002,2002,VinylSd,0,1494,221000
60,RL,13600,Inside,1Fam,6,1965,1990,HdBoard,0,768,205000
20,RL,12464,Corner,1Fam,5,1996,1996,VinylSd,0,1040,152000
20,RL,7800,Inside,1Fam,8,1948,2002,MetalSd,0,896,225000
70,RL,12168,Inside,1Fam,6,1934,1998,BrkFace,0,965,359100
20,RL,7943,Inside,1Fam,5,1961,1961,VinylSd,0,1029,118500
60,RL,11050,Inside,1Fam,5,2000,2000,VinylSd,0,1440,313000
80,RL,10395,FR2,1Fam,6,1978,1978,HdBoard,0,1032,148000
60,RL,11885,Inside,1Fam,5,2001,2001,VinylSd,0,1299,261500
20,RL,8402,Inside,1Fam,5,2007,2007,VinylSd,0,1120,147000
180,RM,1491,Inside,TwnhsE,6,1972,1972,CemntBd,480,630,75500
85,RL,8800,Inside,1Fam,7,1963,1963,MetalSd,0,936,137500
60,RL,7861,Inside,1Fam,5,2002,2003,VinylSd,0,783,183200
45,RL,7227,Corner,1Fam,6,1954,1954,MetalSd,0,832,105500
20,RL,11694,Inside,1Fam,5,2007,2007,CemntBd,0,1822,314813
60,RL,12244,Inside,1Fam,5,2003,2003,VinylSd,0,1482,305000
30,RL,8248,Inside,1Fam,3,1914,1950,Stucco,0,864,67000
60,RL,10800,Inside,1Fam,7,1974,1997,HdBoard,182,1522,240000
20,RL,7064,Inside,1Fam,6,1977,1977,Plywood,0,980,135000
160,FV,2117,Inside,TwnhsE,5,2000,2000,MetalSd,0,756,168500
60,RL,10400,Inside,1Fam,5,1972,1972,VinylSd,0,732,165150
20,RL,10000,Corner,1Fam,6,1962,1962,Wd Sdng,0,1116,160000
20,RL,12342,Inside,1Fam,5,1960,1978,Wd Sdng,0,978,139900
80,RL,9600,Inside,1Fam,6,1955,1972,AsbShng,132,1156,153000
60,RL,11606,Inside,1Fam,5,1969,1969,Plywood,0,1040,135000
80,RL,9020,Corner,1Fam,5,1964,1964,Plywood,336,1248,168500
70,RM,9000,Corner,1Fam,6,1880,1991,VinylSd,0,636,124000
120,RL,4590,Inside,Twnhs,5,2006,2006,VinylSd,0,1554,209500
20,RL,11900,Inside,1Fam,5,1977,1977,Plywood,0,1386,82500
20,RL,9250,Corner,1Fam,7,1954,2005,Wd Sdng,468,1056,139400
90,RL,6979,Inside,Duplex,5,1980,1980,Plywood,0,1056,144000
190,RH,10896,Inside,2fmCon,7,1914,1995,VinylSd,0,1440,200000
30,RM,6120,Inside,1Fam,3,1936,1950,AsbShng,0,264,60000
190,RM,6000,Inside,2fmCon,4,1954,1954,Wd Sdng,0,811,93000
30,RL,8777,Inside,1Fam,7,1910,1950,MetalSd,0,796,85000
120,RL,3982,Inside,TwnhsE,5,2006,2006,VinylSd,0,1520,264561
120,RL,12677,Inside,TwnhsE,5,2003,2004,MetalSd,0,1518,274000
60,FV,7050,Inside,1Fam,5,2001,2001,VinylSd,0,1057,226000
80,RL,13860,Inside,1Fam,7,1972,1995,Plywood,0,1952,345000
60,RL,10793,Inside,1Fam,5,1969,1969,WdShing,287,780,152000
20,FV,9187,Inside,1Fam,5,2009,2009,CemntBd,0,1766,370878
20,RL,10530,Corner,1Fam,5,1971,1971,Plywood,35,981,143250
20,RL,7200,Inside,1Fam,5,1950,1950,MetalSd,0,0,98300
20,RL,10452,Inside,1Fam,5,1953,1953,Wd Sdng,0,1094,155000
60,RL,7700,Inside,1Fam,5,1966,1966,MetalSd,0,756,155000
180,RM,1936,Inside,Twnhs,6,1970,1970,CemntBd,499,630,84500
60,FV,8125,Inside,1Fam,6,2007,2007,CemntBd,0,813,205950
70,RL,9084,Inside,1Fam,5,1940,1950,MetalSd,0,755,108000
60,RL,8750,Inside,1Fam,5,1996,1996,VinylSd,0,880,191000
50,RM,10320,Inside,1Fam,7,1906,1995,MetalSd,0,756,135000
20,RL,10437,Inside,1Fam,6,1995,1995,MetalSd,0,2109,350000
160,RM,1680,Inside,Twnhs,5,1971,1971,HdBoard,0,525,88000
20,RL,10007,Inside,1Fam,7,1959,2006,HdBoard,0,1053,145500
70,RL,7200,Inside,1Fam,6,1931,2000,Stucco,0,776,149000
50,RL,17503,Inside,1Fam,5,1948,1950,VinylSd,0,912,97500
20,RL,9937,Corner,1Fam,7,1964,1999,MetalSd,0,1486,167000
60,RL,12384,CulDSac,1Fam,7,1976,1976,Plywood,0,793,197900
60,RL,46589,CulDSac,1Fam,7,1994,2005,VinylSd,180,1629,402000
20,RL,13560,Corner,1Fam,3,1968,1968,Wd Sdng,0,1392,110000
85,RL,10012,Inside,1Fam,5,1972,1972,Plywood,180,1138,137500
20,RL,20896,CulDSac,1Fam,5,2005,2006,VinylSd,0,2077,423000
60,RL,11194,Corner,1Fam,5,2000,2000,VinylSd,0,1406,230500
60,RL,18450,Inside,1Fam,5,1965,1979,Plywood,723,1021,129000
20,RL,8125,Inside,1Fam,5,1994,1998,HdBoard,0,1408,193500
20,RL,14175,Corner,1Fam,6,1956,1987,CemntBd,0,1188,168000
30,RL,11600,Inside,1Fam,5,1922,1950,MetalSd,0,700,137500
60,RL,8633,FR2,1Fam,5,2005,2005,VinylSd,0,738,173500
70,RH,6629,Inside,1Fam,6,1925,1950,Wd Sdng,0,672,103600
20,RL,11250,Inside,1Fam,6,1977,1977,Plywood,0,1208,165000
20,RL,14442,Inside,1Fam,7,1957,2004,CemntBd,0,1477,257500
20,RL,9200,Inside,1Fam,6,1965,1965,HdBoard,0,1136,140000
160,RL,2289,Inside,Twnhs,6,1978,1978,Plywood,0,855,148500
70,RM,9600,Inside,1Fam,2,1900,1950,AsbShng,0,1095,87000
30,RL,9022,Inside,1Fam,8,1924,2006,VinylSd,0,768,109500
20,RL,11844,Inside,1Fam,5,2008,2008,VinylSd,0,2046,372500
20,RL,9945,Inside,1Fam,5,1961,1961,Wd Sdng,0,988,128500
120,RL,8012,Inside,TwnhsE,5,1980,1980,Plywood,119,923,143000
50,RH,4500,Inside,1Fam,5,1932,2000,VinylSd,0,793,159434
120,RL,2887,Inside,1Fam,5,1996,1997,Wd Sdng,0,1291,173000
20,RL,11248,Corner,1Fam,5,2002,2002,VinylSd,0,1626,285000
60,RL,16770,CulDSac,1Fam,5,1998,1998,VinylSd,0,1195,221000
160,RL,5062,CulDSac,TwnhsE,5,1984,1984,HdBoard,182,1190,207500
60,FV,10207,Inside,1Fam,6,2007,2007,VinylSd,0,874,227875
160,FV,5105,FR2,TwnhsE,5,2004,2004,MetalSd,0,551,148800
20,RL,8089,Inside,1Fam,6,2007,2007,MetalSd,0,1419,392000
120,RL,7577,Corner,TwnhsE,5,2005,2006,VinylSd,0,1362,194700
120,RM,4426,Inside,TwnhsE,5,2004,2004,VinylSd,0,848,141000
60,RL,21535,Corner,1Fam,6,1994,1995,HdBoard,0,2444,755000
60,RL,26178,Inside,1Fam,5,1989,1990,MetalSd,0,1210,335000
30,RL,5400,Corner,1Fam,6,1921,1968,MetalSd,0,1073,108480
50,RM,6120,Corner,1Fam,6,1936,1950,Wd Sdng,0,927,141500
20,RL,13811,Inside,1Fam,6,1987,1987,HdBoard,40,1112,176000
30,RM,6000,Inside,1Fam,7,1921,1950,Wd Sdng,0,616,89000
20,RL,6420,Inside,1Fam,7,1952,1952,Wd Sdng,551,980,123500
20,RL,8450,Inside,1Fam,8,1965,2009,MetalSd,117,894,138500
120,FV,4282,Inside,TwnhsE,5,2004,2004,MetalSd,0,1391,196000
20,RL,14331,Inside,1Fam,5,2002,2002,VinylSd,0,1800,312500
20,RL,9600,Inside,1Fam,5,1969,1969,HdBoard,0,1164,140000
60,RL,12438,Inside,1Fam,5,2006,2006,VinylSd,0,1234,361919
190,RM,7630,Inside,2fmCon,9,1900,1996,Wd Sdng,0,360,140000
20,RL,8400,Inside,1Fam,5,2004,2005,VinylSd,0,1473,213000
190,RM,5600,Inside,2fmCon,5,1930,1950,VinylSd,0,0,55000
20,RL,115149,CulDSac,1Fam,5,1971,2002,Plywood,0,1643,302000
120,RL,6240,Inside,TwnhsE,5,2006,2006,MetalSd,0,1324,254000
60,RL,9018,Inside,1Fam,5,2007,2007,VinylSd,0,728,179540
20,RL,7162,Inside,1Fam,7,1966,1966,HdBoard,0,876,109900
